110	45290	100
220	32300	200
330	47600	300
440	80700	401
550	75300	502
660	110700	603
770	101100	702
880	117600	802
990	130200	902
1 100	145000	1004
1 210	158200	1102
1 320	174500	1204
1 430	188500	1302
1 540	203000	1401
1 650	235600	1501
1 760	237000	1609
1 870	287700	1704
1 980	265800	1808
2 090	287300	1903
2 200	293200	2005
2 310	312300	2105
2 420	323600	2201
2 530	337400	2301
2 640	360300	2404
2 750	372300	2504
2 860	385200	2611
2 970	395800	2703
3 080	412800	2806
3 190	442200	2909
3 300	439600	3005
3 410	461400	3103
3 520	470600	3205
3 630	480500	3302
3 740	490900	3403
3 850	519100	3505
3 960	573900	3605
4 070	539600	3708
4 180	574090	3805
4 290	599321	3906
4 400	587742	4006
4 510	600154	4107
4 620	620865	4211
4 730	610888	4317
4 840	649900	4407
4 950	666232	4508
5 060	699921	4604
5 170	712234	4709
5 280	695362	4812
5 390	724578	4911
5 500	722224	5007
5 610	778900	5104
5 720	701300	5205
5 830	706500	5302
5 940	768500	5399
6 050	809500	5496
6 160	841800	5596
6 270	839100	5693
6 380	887800	5790
6 490	930900	5887
6 600	1067900	5977
6 710	999600	6077
6 820	957000	6177
6 930	812500	6274
7 040	726100	6371
7 150	533000	6494
7 260	528100	6591
7 370	640800	6688
7 480	540300	6785
7 590	584400	6882
7 700	899800	6982
7 810	569200	7079
7 920	575400	7176
8 030	596900	7273
8 140	589900	7370
8 250	596100	7463
8 360	716800	7560
8 470	629900	7657
8 580	623300	7747
8 690	646900	7844
8 800	1080300	7941
8 910	761400	8038
9 020	657600	8143
9 130	760900	8240
9 240	849200	8337
9 350	859100	8431
9 460	1250100	8528
9 570	1247100	8625
9 680	758100	8718
9 790	1175500	8815
9 900	907900	8912
10 010	750700	9009
10 120	869300	9106
10 230	1190200	9205
10 340	1334200	9302
10 450	769900	9399
10 560	805100	9492
10 670	832300	9589
10 780	1334100	9686
10 890	1036500	9786
11000	809800	9883
